user_id,medicine_reminder,water_reminder,appointment_reminder,weekly_update,nutrition_reminder
1,true,true,true,true,true
2,true,false,true,true,true
3,false,true,true,true,false
4,true,true,false,false,true
5,true,true,true,true,true
6,false,true,true,false,true
7,true,false,true,true,true
8,true,true,true,false,false
9,true,false,true,true,true
10,true,true,true,true,true
11,true,true,false,true,true
12,false,true,true,true,true
13,true,true,true,false,true
14,true,true,false,true,false
15,true,true,true,true,true
